Time,Gas,Coal,Nuclear,Wind,Hydro,Interconnect
0,5920.83,0,3845.83,6000,0,0
6,5920.83,0,3845.83,6000,0,0
6,6000,4336.71,3845.83,6000,742.984,674.476
8,6000,4336.71,3845.83,6000,742.984,674.476
8,6000,4336.71,3845.83,6000,742.984,3074.48
16,6000,4336.71,3845.83,6000,742.984,3074.48
16,6000,4336.71,3845.83,6000,2000,4217.46
20,6000,4336.71,3845.83,6000,2000,4217.46
20,6000,3754.17,3845.83,6000,182.54,4217.46
22,6000,3754.17,3845.83,6000,182.54,4217.46
22,5920.83,1433.33,3845.83,6000,182.54,4217.46
24,5920.83,1433.33,3845.83,6000,182.54,4217.46
